brand,model,battery_range,motor_power,age,weight,top_speed,has_gps,has_app,warranty,price,date
Haibike,XDURO,95,1500,5,26,25,False,True,3,2384.3023130771667,2025-05-08 03:07:52.124016
Aventon,Aventon Level,80,1000,4,19,36,True,False,5,2310.0550791985575,2024-11-12 03:07:52.124144
Himo,T1 Pro,26,1000,2,18,23,False,True,5,2613.8615842519,2025-05-21 03:07:52.124253
Bosch,Performance Line CX,126,350,6,33,35,False,False,3,500.0,2025-04-05 03:07:52.124355
Juiced,Juiced RipCurrent,105,1500,3,19,43,False,False,3,3698.2016746114955,2025-05-24 03:07:52.124464
Rad Power Bikes,RadMini,86,1500,7,28,27,False,False,1,1047.824467543015,2025-07-25 03:07:52.124567
Segway,Ninebot,120,1500,7,15,33,False,True,3,2652.4741654291975,2025-09-05 03:07:52.124669
Bosch,Active Line,93,1000,3,27,39,False,False,2,1845.9612576825239,2025-03-27 03:07:52.124772
Super73,Z1 Black,90,350,3,17,33,True,False,3,1756.6432445905366,2024-11-28 03:07:52.124875
BionX,CC-500,77,500,2,28,26,False,False,5,1766.4981598837715,2025-06-06 03:07:52.124978
VanMoof,VanMoof A5,47,2000,7,33,27,True,True,3,1784.1372935491909,2024-10-30 03:07:52.125082
Himo,C1,114,750,5,26,32,True,True,3,1784.8886722525951,2025-06-18 03:07:52.125189
Panasonic,Rear Hub,60,250,4,16,33,True,True,3,1002.5638549369781,2025-06-04 03:07:52.125292
Riese & Müller,Charger,80,500,4,27,32,False,False,2,882.4544857980097,2025-02-12 03:07:52.125394
Rad Power Bikes,RadRunner,39,250,3,34,38,False,False,5,500.0,2025-03-12 03:07:52.125499
Yamaha,PW-X,90,500,0,22,37,True,True,2,3434.6283028113967,2025-01-31 03:07:52.125602
Giant,Explore E+,147,500,6,32,21,True,True,3,1299.842880933747,2025-05-09 03:07:52.125704
Tesla,City Bike,146,2000,1,32,33,False,True,5,9494.351108227953,2025-03-27 03:07:52.125811
Himo,T1 Pro,65,750,7,21,40,True,False,1,500.0,2025-04-17 03:07:52.125916
Giant,Trance E+,137,250,7,34,30,False,False,1,1006.0,2025-01-29 03:07:52.126020
Brose,A Mag,84,250,3,32,42,False,True,2,764.8648157138628,2025-05-28 03:07:52.126121
Segway,GT2,46,2000,6,24,31,False,True,3,1537.046674564356,2025-04-05 03:07:52.126224
